\;who;text;Новый вариант;;;;;;;;;;;;;;;;;;;;;
768;ID_24_f_a_ROUND_3_SUICIDE_TEXT;Это большая честь умереть в таком месте!;Это большая честь умереть в таком месте!;;;;;;;;;;;;;;;;;;;;;
769;ID_24_ROUND_3_GG_ANSWER_RESULT = next;Чегоооооо?;Подожди, что?!;;;;;;;;;;;;;;;;;;;;;
770;ID_24_ROUND_3_GG_ANSWER_RESULT = suicide;Но ты же не будешь это делать?;Но делать ты этого конечно же не будешь?;;;;;;;;;;;;;;;;;;;;;
771;ID_24_ROUND_3_GG_ANSWER_RESULT = next;Да оно так себе 3/10. Не советую.;Да не такое уж и классное это место, так, на троечку.;;;;;;;;;;;;;;;;;;;;;
772;ID_24_f_a_ROUND_3_SUICIDE_ON_DIE;Буду. Пока.;Буду.;;;;;;;;;;;;;;;;;;;;;
773;ID_24_f_a_ROUND_4_SUICIDE_TEXT;В мире очень мало таких мест - это единственное, куда я смогла добраться.;В мире очень мало таких мест. Это единственное, куда я смогла добраться.;;;;;;;;;;;;;;;;;;;;;
774;ID_24_ROUND_4_GG_ANSWER_RESULT = next;Иди домой лучше.;Иди лучше домой.;;;;;;;;;;;;;;;;;;;;;
775;ID_24_ROUND_4_GG_ANSWER_RESULT = suicide;Ты ненормальная?;Ты что, свихнулась?;;;;;;;;;;;;;;;;;;;;;
776;ID_24_ROUND_4_GG_ANSWER_RESULT = next;А есть еще такие места?;А есть еще такие места?;;;;;;;;;;;;;;;;;;;;;
777;ID_24_f_a_ROUND_4_SUICIDE_ON_DIE;Нет ты.;Не больше, чем ты.;;;;;;;;;;;;;;;;;;;;;
778;ID_24_f_a_ROUND_5_SUICIDE_TEXT;Молодой человек, не мешайте. Я хотела разделить с вами этот момент, но вы мне уже не нравитесь.;Я уж было решилась разделить этот момент с тобой, но ты начинаешь мне надоедать.;;;;;;;;;;;;;;;;;;;;;
779;ID_24_ROUND_5_GG_ANSWER_RESULT = save;Найди себе нормальное хобби.;Найди себе нормальное хобби.;;;;;;;;;;;;;;;;;;;;;
780;ID_24_ROUND_5_GG_ANSWER_RESULT = save;Спустись с небес на землю.;Я просто хочу тебе помочь.;;;;;;;;;;;;;;;;;;;;;
781;ID_24_ROUND_5_GG_ANSWER_RESULT = save;Может расскажешь о своей мечте? Завтра например?;Может расскажешь мне о своей мечте? Завтра, например?;;;;;;;;;;;;;;;;;;;;;
782;ID_24_f_a_ROUND_5SUICIDE_ON_GO_HOME;Ты испортил весь момент. Вернусь когда тебя не будет.;Ты испортил весь момент. Вернусь, когда ты уйдешь.;;;;;;;;;;;;;;;;;;;;;
783;ID_44_m_tommy_ROUND_1_SUICIDE_TEXT;ВСЕ МЕНЯ ПРЕДАЛИ! Я СЫТ ПО ГОРЛО ЭТИМ МИРОМ!;ВСЕ МЕНЯ ПРЕДАЛИ! Я СЫТ ПО ГОРЛО ЭТИМ МИРОМ!;;;;;;;;;;;;;;;;;;;;;
784;ID_44_ROUND_1_GG_ANSWER_RESULT = next;Никто не идеален.;Людям свойственно совершать ошибки.;;;;;;;;;;;;;;;;;;;;;
785;ID_44_ROUND_1_GG_ANSWER_RESULT = next;"Кто ""они""?";Прям все?;;;;;;;;;;;;;;;;;;;;;
786;ID_44_ROUND_1_GG_ANSWER_RESULT = next;Я разберусь с ними!;Кто эти люди? Я им отомщу!;;;;;;;;;;;;;;;;;;;;;
787;ID_44_m_tommy_ROUND_2_SUICIDE_TEXT;Оставь свои глупые комментарии себе в кармане!;Засунь свои глупые комментарии себе в карман!;;;;;;;;;;;;;;;;;;;;;
788;ID_44_ROUND_2_GG_ANSWER_RESULT = suicide;Звучит грубо.;Это было грубо.;;;;;;;;;;;;;;;;;;;;;
789;ID_44_ROUND_2_GG_ANSWER_RESULT = next;Чего? Это выражение?;Серьезно? Есть такое выражение?;;;;;;;;;;;;;;;;;;;;;
790;ID_44_ROUND_2_GG_ANSWER_RESULT = next;Извини, извини...;Ладно-ладно, прости.;;;;;;;;;;;;;;;;;;;;;
791;ID_44_m_tommy_ROUND_2_SUICIDE_ON_DIE;НЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕТ.;НЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕТ.;;;;;;;;;;;;;;;;;;;;;
792;ID_44_m_tommy_ROUND_3_SUICIDE_TEXT;Спасибо, ктобы ты не был. Я очень рад что у меня есть ты и я люблю ее так сильно...;Спасибо, кто бы ты ни был. Ты немного отвлекаешь меня от мыслей о ней... Я так сильно ее люблю...;;;;;;;;;;;;;;;;;;;;;
793;ID_44_ROUND_3_GG_ANSWER_RESULT = next;Конечно!;Всегда рад помочь!;;;;;;;;;;;;;;;;;;;;;
794;ID_44_ROUND_3_GG_ANSWER_RESULT = next;Это мило, ей повезло.;Это мило, ей повезло.;;;;;;;;;;;;;;;;;;;;;
795;ID_44_ROUND_3_GG_ANSWER_RESULT = next;Я тоже...рад.;Я тоже...рад.;;;;;;;;;;;;;;;;;;;;;
797;ID_44_m_tommy_ROUND_4_SUICIDE_TEXT;Ха ха ха. Ну и история, друг.;Фух, ну и денек у меня выдался...;;;;;;;;;;;;;;;;;;;;;
798;ID_44_ROUND_4_GG_ANSWER_RESULT = next;Так что случилось?;Так что случилось?;;;;;;;;;;;;;;;;;;;;;
799;ID_44_ROUND_4_GG_ANSWER_RESULT = next;Все, пойдешь домой?;Может, пора домой?;;;;;;;;;;;;;;;;;;;;;
800;ID_44_ROUND_4_GG_ANSWER_RESULT = next;Тебе лучше?;Тебе уже лучше?;;;;;;;;;;;;;;;;;;;;;
802;ID_44_m_tommy_ROUND_5_SUICIDE_TEXT;Нет! Моя девушка предала меня! Она сказала что я ее ударил, но я не бил ее! Не бил ее! И она изменила мне с моим лучшим другом!;А сам как думаешь?! Моя девушка предала меня! Она наплела всем, что я ее ударил, но я не бил ее! Я и пальцем ее не тронул! А она переспала с моим лучшим другом...;;;;;;;;;;;;;;;;;;;;;
803;ID_44_ROUND_5_GG_ANSWER_RESULT = ;Звучит как сценарий для фильма;Звучит как сценарий для фильма.;;;;;;;;;;;;;;;;;;;;;
804;ID_44_ROUND_5_GG_ANSWER_RESULT = suicide;Ты ударил женщину?;Ты поднял руку на женщину?;;;;;;;;;;;;;;;;;;;;;
805;ID_44_ROUND_5_GG_ANSWER_RESULT = suicide;Я бы застрелился...;Я бы после такого застрелился...;;;;;;;;;;;;;;;;;;;;;
806;ID_44_m_tommy_ROUND_5_SUICIDE_ON_DIE;Я НЕ БИЛ ЕЕ НЕЕЕЕЕЕЕЕЕЕЕЕЕЕЕТ.;Я ЭТОГО НЕ ДЕЛАЛ!;;;;;;;;;;;;;;;;;;;;;
807;ID_44_m_tommy_ROUND_5SUICIDE_ON_GO_HOME;Да? Пойду запишу...;Да? И правда, звучит неплохо. Пойду запишу...;;;;;;;;;;;;;;;;;;;;;
808;ID_25_m_y_ROUND_1_SUICIDE_TEXT;Я не буду говорить.;Я не хочу это обсуждать.;;;;;;;;;;;;;;;;;;;;;
809;ID_25_ROUND_1_GG_ANSWER_RESULT = next;Пожалуйста?;А сейчас?;;;;;;;;;;;;;;;;;;;;;
810;ID_25_ROUND_1_GG_ANSWER_RESULT = next;Я тожe.;Я тожe.;;;;;;;;;;;;;;;;;;;;;
811;ID_25_ROUND_1_GG_ANSWER_RESULT = next;Помолчим?;Помолчим?;;;;;;;;;;;;;;;;;;;;;
812;ID_25_m_y_ROUND_2_SUICIDE_TEXT;Ты чо еще издеваешься?;Издеваешься?;;;;;;;;;;;;;;;;;;;;;
813;ID_25_ROUND_2_GG_ANSWER_RESULT = next;Просто устал.;Просто устал.;;;;;;;;;;;;;;;;;;;;;
814;ID_25_ROUND_2_GG_ANSWER_RESULT = next;Без обид.;Без обид.;;;;;;;;;;;;;;;;;;;;;
815;ID_25_ROUND_2_GG_ANSWER_RESULT = next;Конечно нет.;Нет, конечно. Прости.;;;;;;;;;;;;;;;;;;;;;
816;ID_25_m_y_ROUND_3_SUICIDE_TEXT;Все ок, чел. У меня тоже был плохой день.;Да ладно, все окей. У меня тоже был плохой день.;;;;;;;;;;;;;;;;;;;;;
817;ID_25_ROUND_3_GG_ANSWER_RESULT = next;Что случилось?;Не хочешь поделиться?;;;;;;;;;;;;;;;;;;;;;
818;ID_25_ROUND_3_GG_ANSWER_RESULT = next;Понимаю, почему?;Как я тебя понимаю.;;;;;;;;;;;;;;;;;;;;;
819;ID_25_ROUND_3_GG_ANSWER_RESULT = next;Я вижу.;Я заметил.;;;;;;;;;;;;;;;;;;;;;
820;ID_25_m_y_ROUND_4_SUICIDE_TEXT;Ну... Моя девушка вдруг переехала от меня к знаешь кому? К СВОЕМУ МУЖУ.;Представляешь, моя девушка вдруг собрала свои вещи и съехала от меня. Угадай, к кому? К СВОЕМУ МУЖУ.;;;;;;;;;;;;;;;;;;;;;
821;ID_25_ROUND_4_GG_ANSWER_RESULT = next;Л о л.;Вот это поворот!;;;;;;;;;;;;;;;;;;;;;
822;ID_25_ROUND_4_GG_ANSWER_RESULT = next;Это... Неожиданно.;Похоже, она верит в свободные отношения.;;;;;;;;;;;;;;;;;;;;;
823;ID_25_ROUND_4_GG_ANSWER_RESULT = suicide;Что планируешь делать?;И какой у тебя план?;;;;;;;;;;;;;;;;;;;;;
824;ID_25_m_y_ROUND_4_SUICIDE_ON_DIE;Прыгать очевидно.;Прыгать.;;;;;;;;;;;;;;;;;;;;;
825;ID_25_m_y_ROUND_5_SUICIDE_TEXT;Ага, ей лишь бы скакать с члена на член. Стерва...;Ага, ей лишь бы ноги раздвигать, а перед кем - неважно... Стерва...;;;;;;;;;;;;;;;;;;;;;
826;ID_25_ROUND_5_GG_ANSWER_RESULT = suicide;Она не стоит этого, чел.;Она того не стоит, чел.;;;;;;;;;;;;;;;;;;;;;
827;ID_25_ROUND_5_GG_ANSWER_RESULT = save;Если ты прыгнешь - то она победит?;Если ты прыгнешь, то она победит?;;;;;;;;;;;;;;;;;;;;;
828;ID_25_ROUND_5_GG_ANSWER_RESULT = save;Разбил бы ей лицо.;Поставил бы ее на место.;;;;;;;;;;;;;;;;;;;;;
829;ID_25_m_y_ROUND_5SUICIDE_ON_GO_HOME;Неееет, я докажу ей, что она не права!;Нет уж, она еще пожалеет, что бросила меня!;;;;;;;;;;;;;;;;;;;;;
830;ID_26_m_y_ROUND_1_SUICIDE_TEXT;Хнык хнык.;*плачет*;;;;;;;;;;;;;;;;;;;;;
831;ID_26_ROUND_1_GG_ANSWER_RESULT = next;Ну чего ты?;Что с тобой?;;;;;;;;;;;;;;;;;;;;;
832;ID_26_ROUND_1_GG_ANSWER_RESULT = next;Не реви.;Будь мужиком, не реви.;;;;;;;;;;;;;;;;;;;;;
833;ID_26_ROUND_1_GG_ANSWER_RESULT = next;Тебя кто-то обидел?;Тебя кто-то обидел?;;;;;;;;;;;;;;;;;;;;;
834;ID_26_m_y_ROUND_2_SUICIDE_TEXT;Мой отец...надевает мамину одежду и...;Мой отец... Он надевает мамину одежду и...;;;;;;;;;;;;;;;;;;;;;
835;ID_26_ROUND_2_GG_ANSWER_RESULT = next;Ииии?;И-и-и?..;;;;;;;;;;;;;;;;;;;;;
836;ID_26_ROUND_2_GG_ANSWER_RESULT = suicide;Я заинтересован.;Вечер перестает быть томным!;;;;;;;;;;;;;;;;;;;;;
837;ID_26_ROUND_2_GG_ANSWER_RESULT = next;Что он делает?;Что он делает?;;;;;;;;;;;;;;;;;;;;;
838;ID_26_m_y_ROUND_2_SUICIDE_ON_DIE;Я не хочу говорить больше...;Я так больше не могу...;;;;;;;;;;;;;;;;;;;;;
839;ID_26_m_y_ROUND_3_SUICIDE_TEXT;Он приходит так ко мне в комнату и просит сделать это.;Потом он приходит ко мне в комнату и просит... сделать это.;;;;;;;;;;;;;;;;;;;;;
840;ID_26_ROUND_3_GG_ANSWER_RESULT = next;Я сожалею...;Ох... Я сожалею...;;;;;;;;;;;;;;;;;;;;;
841;ID_26_ROUND_3_GG_ANSWER_RESULT = suicide;Нужно заявить в полицию!;Ты должен заявить в полицию!;;;;;;;;;;;;;;;;;;;;;
842;ID_26_ROUND_3_GG_ANSWER_RESULT = next;Мама знает???;Ты говорил об этом маме?;;;;;;;;;;;;;;;;;;;;;
843;ID_26_m_y_ROUND_3_SUICIDE_ON_DIE;Я не переживу этого.;Я не переживу этого.;;;;;;;;;;;;;;;;;;;;;
844;ID_26_m_y_ROUND_4_SUICIDE_TEXT;Я никому не рассказывал, я больше не хочу делать это с папой...;Я никому об этом не рассказывал. Я больше не хочу этого делать...;;;;;;;;;;;;;;;;;;;;;
845;ID_26_ROUND_4_GG_ANSWER_RESULT = next;Ты не обязан, слезай, больше этого не будет.;Ты не обязан это делать.;;;;;;;;;;;;;;;;;;;;;
846;ID_26_ROUND_4_GG_ANSWER_RESULT = save;Он твой отец-ты должен слушаться.;Ты должен быть сильным и постоять за себя.;;;;;;;;;;;;;;;;;;;;;
847;ID_26_ROUND_4_GG_ANSWER_RESULT = suicide;У тебя хотя бы есть секс.;Это еще чего, вот у меня вообще никакого секса нет...;;;;;;;;;;;;;;;;;;;;;
848;ID_26_m_y_ROUND_4_SUICIDE_ON_DIE;....;Хотел бы я быть на твоем месте.;;;;;;;;;;;;;;;;;;;;;
849;ID_26_m_y_ROUND_4SUICIDE_ON_GO_HOME;Я правда должен...Я пойду...;Я правда должен... Я пойду.;;;;;;;;;;;;;;;;;;;;;
850;ID_26_m_y_ROUND_5_SUICIDE_TEXT;Я боюсь...;Я не знаю... Я боюсь.;;;;;;;;;;;;;;;;;;;;;
851;ID_26_ROUND_5_GG_ANSWER_RESULT = suicide;Не бойся.;Тебе нечего бояться.;;;;;;;;;;;;;;;;;;;;;
852;ID_26_ROUND_5_GG_ANSWER_RESULT = save;Слезай и мы разберемся.;Слезай, мы вместе придумаем, что делать дальше.;;;;;;;;;;;;;;;;;;;;;
853;ID_26_ROUND_5_GG_ANSWER_RESULT = save;Беги к маме, она тебе поможет.;Беги к маме, она тебе поможет.;;;;;;;;;;;;;;;;;;;;;
854;ID_26_m_y_ROUND_5_SUICIDE_ON_DIE;Ммммммм хнык.;Ты не понимаешь...;;;;;;;;;;;;;;;;;;;;;
855;ID_26_m_y_ROUND_5SUICIDE_ON_GO_HOME;Ладно...;Хорошо.;;;;;;;;;;;;;;;;;;;;;
856;ID_36_m_y_ROUND_1_SUICIDE_TEXT;Я...Я...Я...;Я... Я... Я...;;;;;;;;;;;;;;;;;;;;;
857;ID_36_ROUND_1_GG_ANSWER_RESULT = next;Что случилось?;Что случилось?;;;;;;;;;;;;;;;;;;;;;
858;ID_36_ROUND_1_GG_ANSWER_RESULT = next;М?;М-м-м?;;;;;;;;;;;;;;;;;;;;;
859;ID_36_ROUND_1_GG_ANSWER_RESULT = next;Ты.;Ты, ты, ты.;;;;;;;;;;;;;;;;;;;;;
860;ID_36_m_y_ROUND_2_SUICIDE_TEXT;Зачем, зачем, зачем, просто зачем...;Зачем, зачем, зачем, просто зачем...;;;;;;;;;;;;;;;;;;;;;
861;ID_36_ROUND_2_GG_ANSWER_RESULT = next;Зачем что?;Зачем что?;;;;;;;;;;;;;;;;;;;;;
862;ID_36_ROUND_2_GG_ANSWER_RESULT = next;Наверное была причина?;Наверное была причина?;;;;;;;;;;;;;;;;;;;;;
863;ID_36_ROUND_2_GG_ANSWER_RESULT = next;Просто дыши - глубокий вдооох и выыыыдох.;Дыши глубже, давай: вдох-выдох...;;;;;;;;;;;;;;;;;;;;;
864;ID_36_m_y_ROUND_3_SUICIDE_TEXT;Если бы не я, мои родители бы были живы...Я не успел даже попрощаться...;Если бы не я, мои родители были бы живы... Я не успел даже попрощаться...;;;;;;;;;;;;;;;;;;;;;
865;ID_36_ROUND_3_GG_ANSWER_RESULT = next;Они бы не хотели, чтобы с тобой что-то случилось.;Что бы ни произошло, они бы не хотели, чтобы ты был здесь.;;;;;;;;;;;;;;;;;;;;;
866;ID_36_ROUND_3_GG_ANSWER_RESULT = suicide;Поделись, что произошло?;Расскажи, что случилось?;;;;;;;;;;;;;;;;;;;;;
867;ID_36_ROUND_3_GG_ANSWER_RESULT = next;Ты не виноват.;Ты не виноват.;;;;;;;;;;;;;;;;;;;;;
868;ID_36_m_y_ROUND_3_SUICIDE_ON_DIE;ОНИ МЕРТВЫ ИЗ-ЗА МЕНЯ!!!!!;ОНИ МЕРТВЫ ИЗ-ЗА МЕНЯ!!!;;;;;;;;;;;;;;;;;;;;;
869;ID_36_m_y_ROUND_4_SUICIDE_TEXT;Нет я виноват, это я купил им билеты на этот чертов самолет, мечтал, что они хотя бы сейчас отдохнут у моря...У них никогда не было отпуска...;Нет, я виноват! Это я купил им билеты на этот чертов самолет! Я так мечтал, чтобы они наконец увидели море... У них никогда не было отпуска...;;;;;;;;;;;;;;;;;;;;;
870;ID_36_ROUND_4_GG_ANSWER_RESULT = next;Ты хотел как лучше.;Вот видишь, ты же хотел как лучше.;;;;;;;;;;;;;;;;;;;;;
871;ID_36_ROUND_4_GG_ANSWER_RESULT = next;Ты не виноват в этом. Так бывает.;Ты в этом не виноват. Так бывает.;;;;;;;;;;;;;;;;;;;;;
872;ID_36_ROUND_4_GG_ANSWER_RESULT = suicide;Теперь можешь стать бэтменом или что-то такое.;Зато теперь ты как бэтмен или типа того.;;;;;;;;;;;;;;;;;;;;;
873;ID_36_m_y_ROUND_4_SUICIDE_ON_DIE;Ага.;Типа того.;;;;;;;;;;;;;;;;;;;;;
874;ID_36_m_y_ROUND_5_SUICIDE_TEXT;Я так скучаю по ним...Как мне спать, зная, что я их убил?;Я так скучаю по ним... Как мне спать, зная, что они мерты из-за меня?!;;;;;;;;;;;;;;;;;;;;;
875;ID_36_ROUND_5_GG_ANSWER_RESULT = ;Время вылечит...;Сейчас тебе тяжело, но станет легче. Время лечит.;;;;;;;;;;;;;;;;;;;;;
876;ID_36_ROUND_5_GG_ANSWER_RESULT = suicide;Соберись, ты сильнее этого!;Соберись, ты сильнее этого!;;;;;;;;;;;;;;;;;;;;;
877;ID_36_ROUND_5_GG_ANSWER_RESULT = ;Сохрани память о них. И детям о них рассказывай.;Они умрут только тогда, когда умрет последнее воспоминание о них.;;;;;;;;;;;;;;;;;;;;;
878;ID_36_m_y_ROUND_5_SUICIDE_ON_DIE;Я СИЛЬНЕЕ. Я ПРЫГНУ!;Я СИЛЬНЕЕ. Я ПРЫГНУ!;;;;;;;;;;;;;;;;;;;;;
879;ID_36_m_y_ROUND_5SUICIDE_ON_GO_HOME;Мамочка...Папочка...;Мамочка... Папочка...;;;;;;;;;;;;;;;;;;;;;
880;ID_29_m_ROUND_1_SUICIDE_TEXT;Как я мог? Как я мог, как я мог. ;Как я мог, как я мог?!;;;;;;;;;;;;;;;;;;;;;
881;ID_29_ROUND_1_GG_ANSWER_RESULT = suicide;Как ты мог?;Как ты мог?;;;;;;;;;;;;;;;;;;;;;
882;ID_29_ROUND_1_GG_ANSWER_RESULT = next;Что? Что, что?;Что, что?!;;;;;;;;;;;;;;;;;;;;;
883;ID_29_ROUND_1_GG_ANSWER_RESULT = next;Все нормально, все поправимо.;Что бы ты ни сделал, все поправимо.;;;;;;;;;;;;;;;;;;;;;
884;ID_29_m_ROUND_1_SUICIDE_ON_DIE;Я плохой...;Я не достоин жить...;;;;;;;;;;;;;;;;;;;;;
885;ID_29_m_ROUND_2_SUICIDE_TEXT;Я пропустил...про..пустил...я ее больше не увижу...;Я пропустил... Я не смог... Я больше никогда ее не увижу!..;;;;;;;;;;;;;;;;;;;;;
886;ID_29_ROUND_2_GG_ANSWER_RESULT = next;Что такого ты пропустил?;Что такого ты пропустил?;;;;;;;;;;;;;;;;;;;;;
887;ID_29_ROUND_2_GG_ANSWER_RESULT = next;О чем ты, друг?;О чем ты, друг?;;;;;;;;;;;;;;;;;;;;;
888;ID_29_ROUND_2_GG_ANSWER_RESULT = suicide;Нормально говори.;Ты можешь говорить нормально?;;;;;;;;;;;;;;;;;;;;;
;ID_29_m_ROUND_2_SUCIDE_ON_DIE;;Да пошел ты!;;;;;;;;;;;;;;;;;;;;;
889;ID_29_m_ROUND_3_SUICIDE_TEXT;Моя мать! Я пропустил ее похороны, я не смог прийти у меня порвался костюм и я не успел на самолет...;Моя мать! Я пропустил ее похороны, я не смог прийти... У меня порвался костюм и я не успел на самолет...;;;;;;;;;;;;;;;;;;;;;
890;ID_29_ROUND_3_GG_ANSWER_RESULT = suicide;Это отмазки...;Какие-то нелепые отмазки...;;;;;;;;;;;;;;;;;;;;;
891;ID_29_ROUND_3_GG_ANSWER_RESULT = next;Она бы точно не хотела, чтобы ты так закончил.;Она бы точно не осудила тебя за это.;;;;;;;;;;;;;;;;;;;;;
892;ID_29_ROUND_3_GG_ANSWER_RESULT = next;А если она сейчас смотрит за тобой?;А если она сейчас смотрит за тобой?;;;;;;;;;;;;;;;;;;;;;
893;ID_29_m_ROUND_3_SUICIDE_ON_DIE;Вот именно...;Ты прав...;;;;;;;;;;;;;;;;;;;;;
894;ID_29_m_ROUND_4_SUICIDE_TEXT;Что ты несешь?;Я так не думаю.;;;;;;;;;;;;;;;;;;;;;
895;ID_29_ROUND_4_GG_ANSWER_RESULT = next;Ну, а что если это правда?;А что, если это правда?;;;;;;;;;;;;;;;;;;;;;
896;ID_29_ROUND_4_GG_ANSWER_RESULT = next;Загляни в себя.;Слушай свое сердце.;;;;;;;;;;;;;;;;;;;;;
897;ID_29_ROUND_4_GG_ANSWER_RESULT = suicide;Ее уже не вернуть, но ты должен жить.;Ее уже не вернуть, но ты должен жить.;;;;;;;;;;;;;;;;;;;;;
898;ID_29_m_ROUND_4_SUICIDE_ON_DIE;Я ничего тебе не должен!;Я никому ничего не должен!;;;;;;;;;;;;;;;;;;;;;
899;ID_29_m_ROUND_5_SUICIDE_TEXT;Я дико зол на себя...;Я дико зол на себя...;;;;;;;;;;;;;;;;;;;;;
900;ID_29_ROUND_5_GG_ANSWER_RESULT = save;Все совершают ошибки.;Все совершают ошибки.;;;;;;;;;;;;;;;;;;;;;
901;ID_29_ROUND_5_GG_ANSWER_RESULT = suicide;Ты должен найти силы.;Ты должен быть сильным.;;;;;;;;;;;;;;;;;;;;;
902;ID_29_ROUND_5_GG_ANSWER_RESULT = save;Я понимаю, но ты не виноват.;Я понимаю, но ты не виноват.;;;;;;;;;;;;;;;;;;;;;
903;ID_29_m_ROUND_5_SUICIDE_ON_DIE;>Я ничего тебе не должен!;Я никому ничего не должен!;;;;;;;;;;;;;;;;;;;;;
904;ID_29_m_ROUND_5SUICIDE_ON_GO_HOME;Я... Я пойду подумаю еще...;Мне нужно это обдумать...;;;;;;;;;;;;;;;;;;;;;
905;ID_31_f_o_ROUND_1_SUICIDE_TEXT;Чо те надо?;Чего тебе надо, мальчик?!;;;;;;;;;;;;;;;;;;;;;
906;ID_31_ROUND_1_GG_ANSWER_RESULT = next;Чтобы никто не умер.;Чтобы никто не умер.;;;;;;;;;;;;;;;;;;;;;
907;ID_31_ROUND_1_GG_ANSWER_RESULT = next;А вам, тут что надо?;А вам?;;;;;;;;;;;;;;;;;;;;;
908;ID_31_ROUND_1_GG_ANSWER_RESULT = next;Здравствуйте?;И вам добрый вечер!;;;;;;;;;;;;;;;;;;;;;
909;ID_31_f_o_ROUND_2_SUICIDE_TEXT;Шутник, чтоли? Знаешь кто я вообще?;А ты шутник, я смотрю? Ты вообще знаешь, кто я такая?;;;;;;;;;;;;;;;;;;;;;
910;ID_31_ROUND_2_GG_ANSWER_RESULT = next;Заблудшая душа?;Заблудшая душа?;;;;;;;;;;;;;;;;;;;;;
911;ID_31_ROUND_2_GG_ANSWER_RESULT = next;Расскажи, мне интересно.;Нет, познакомимся?;;;;;;;;;;;;;;;;;;;;;
912;ID_31_ROUND_2_GG_ANSWER_RESULT = suicide;А кто я, знаешь?;А вы вообще знаете, кто я такой?;;;;;;;;;;;;;;;;;;;;;
;ID_31_f_o_ROUND_3_SUICIDE_ON_DIE;;Мне нет дела до неудачников!;;;;;;;;;;;;;;;;;;;;;
913;ID_31_f_o_ROUND_3_SUICIDE_TEXT;Вижу, что ты плебей, но да черт с тобой: я - модель, я была на обложке вогуе, я спала с самымы известными людьми!;Чтобы ты знал, мальчик, я - модель! Я была на обложке Вога, через мою постель прошли самые горячие знаменитости!;;;;;;;;;;;;;;;;;;;;;
914;ID_31_ROUND_3_GG_ANSWER_RESULT = next;Я вижу твой корабль пошел ко дну.;Я вижу, ваш корабль пошел ко дну.;;;;;;;;;;;;;;;;;;;;;
915;ID_31_ROUND_3_GG_ANSWER_RESULT = next;Почему же ты здесь.;Почему же вы здесь?;;;;;;;;;;;;;;;;;;;;;
916;ID_31_ROUND_3_GG_ANSWER_RESULT = save;Я бы взял автограф!;Так это вы! Можно автограф?;;;;;;;;;;;;;;;;;;;;;
917;ID_31_f_o_ROUND_3SUICIDE_ON_GO_HOME;ДА? Ты меня узнал? Значит не все потеряно!;Ты меня узнал? Значит, не все потеряно!;;;;;;;;;;;;;;;;;;;;;
918;ID_31_f_o_ROUND_4_SUICIDE_TEXT;Нет больше никакой славы...глянца и лоска...Только стареющая кожа и обвисающие сиськи...эх...;Прошли времена моей славы... Никакого больше глянца и красивой жизни. Только стареющая кожа и обвисшие сиськи...;;;;;;;;;;;;;;;;;;;;;
919;ID_31_ROUND_4_GG_ANSWER_RESULT = suicide;Ой, да ладно, не в этом смысл жизни.;Ой, да ладно, не в этом же смысл жизни.;;;;;;;;;;;;;;;;;;;;;
920;ID_31_ROUND_4_GG_ANSWER_RESULT = next;Но ты то еще есть.;У вас еще многое впереди.;;;;;;;;;;;;;;;;;;;;;
921;ID_31_ROUND_4_GG_ANSWER_RESULT = next;Твои сисьски еще ничего...;Ваши сиськи еще вполне ничего!;;;;;;;;;;;;;;;;;;;;;
922;ID_31_f_o_ROUND_4_SUICIDE_ON_DIE;В этом.;В этом.;;;;;;;;;;;;;;;;;;;;;
924;ID_31_f_o_ROUND_5_SUICIDE_TEXT;Да я и не знаю уже зачем, я уже испытала все что можно. Осталось последнее.;Это очень мило, конечно, но пойми, малыш, я за свою жизнь уже испытала все, что можно. Кроме одного.;;;;;;;;;;;;;;;;;;;;;
925;ID_31_ROUND_5_GG_ANSWER_RESULT = save;Давай, найдем что-то еще?;Может, поищем что-то еще?;;;;;;;;;;;;;;;;;;;;;
926;ID_31_ROUND_5_GG_ANSWER_RESULT = suicide;Зачем этой реке, такой красивый труп?;Зачем этой реке такой красивый труп?;;;;;;;;;;;;;;;;;;;;;
927;ID_31_ROUND_5_GG_ANSWER_RESULT = save;Завидую тебе.;Вы не представляете, как я вам завидую.;;;;;;;;;;;;;;;;;;;;;
928;ID_31_f_o_ROUND_5_SUICIDE_ON_DIE;Это лучшее что у тебя есть?;Это лучшее, что ты смог придумать?;;;;;;;;;;;;;;;;;;;;;
929;ID_31_f_o_ROUND_5SUICIDE_ON_GO_HOME;Ах черт с тобой. Пойду домой.;Ах, черт с тобой. Пойду домой.;;;;;;;;;;;;;;;;;;;;;
930;ID_32_m_a_ROUND_1_SUICIDE_TEXT;Мой маяк потух...;Мой маяк потух...;;;;;;;;;;;;;;;;;;;;;
931;ID_32_ROUND_1_GG_ANSWER_RESULT = next;Зажгем новый, не переживай.;Зажжем новый, не переживай.;;;;;;;;;;;;;;;;;;;;;
932;ID_32_ROUND_1_GG_ANSWER_RESULT = next;Это метафора?;Это метафора?;;;;;;;;;;;;;;;;;;;;;
933;ID_32_ROUND_1_GG_ANSWER_RESULT = next;Чем я могу тебе помочь?;Что с произошло?;;;;;;;;;;;;;;;;;;;;;
